epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,7538.35,1.7272,2.74798,2.26235,0.46882,0.20912,0.28571,0.13052,2.29878,3.39705,2.76091,0.000129629,0.000129629,0.000129629
69,7648.87,1.72474,2.72638,2.27154,0.54449,0.21465,0.29753,0.14159,2.28093,3.42989,2.73674,0.000125818,0.000125818,0.000125818
70,7759.52,1.76674,2.67463,2.29486,0.54793,0.19412,0.30092,0.14587,2.31651,3.43291,2.79411,0.000122007,0.000122007,0.000122007
71,7870.02,1.72854,2.69798,2.24215,0.52138,0.17821,0.27932,0.12721,2.3431,3.41931,2.78276,0.000118195,0.000118195,0.000118195
72,7980.77,1.73424,2.63121,2.24743,0.44116,0.20775,0.28827,0.12939,2.30659,3.42359,2.7681,0.000114384,0.000114384,0.000114384
73,8091.91,1.71111,2.69077,2.24673,0.52691,0.23096,0.35073,0.1448,2.2817,3.3634,2.73746,0.000110572,0.000110572,0.000110572
74,8202.57,1.7369,2.67646,2.26466,0.65127,0.20876,0.31922,0.13069,2.34254,3.40859,2.82424,0.000106761,0.000106761,0.000106761
75,8312.79,1.70345,2.65177,2.22609,0.46845,0.18631,0.29441,0.12384,2.29603,3.40225,2.7576,0.000102949,0.000102949,0.000102949
76,8422.92,1.70696,2.61958,2.23272,0.50513,0.22149,0.27771,0.12227,2.30105,3.35703,2.76077,9.91375e-05,9.91375e-05,9.91375e-05
77,8533.25,1.74534,2.59796,2.2473,0.45583,0.19886,0.27824,0.12584,2.31673,3.37288,2.77986,9.5326e-05,9.5326e-05,9.5326e-05
78,8644.53,1.69431,2.58514,2.21565,0.59125,0.18374,0.31803,0.13443,2.33559,3.42563,2.78618,9.15145e-05,9.15145e-05,9.15145e-05
79,8755.35,1.70433,2.54766,2.22472,0.52748,0.19729,0.2885,0.13483,2.28213,3.3488,2.73918,8.7703e-05,8.7703e-05,8.7703e-05
80,8866.63,1.71901,2.61053,2.21461,0.39745,0.26949,0.37104,0.1685,2.24583,3.39345,2.70757,8.38915e-05,8.38915e-05,8.38915e-05
81,8978.18,1.71791,2.57506,2.23083,0.65812,0.17315,0.27377,0.13257,2.32039,3.47413,2.79222,8.008e-05,8.008e-05,8.008e-05
82,9089.08,1.71032,2.58319,2.23668,0.66024,0.20107,0.32672,0.15773,2.27518,3.31925,2.73089,7.62685e-05,7.62685e-05,7.62685e-05
83,9200.24,1.70707,2.61368,2.21632,0.28542,0.25382,0.23344,0.10014,2.32525,3.36512,2.76388,7.2457e-05,7.2457e-05,7.2457e-05
84,9311.85,1.67673,2.51426,2.21198,0.59007,0.18446,0.28386,0.12287,2.31238,3.38022,2.75866,6.86455e-05,6.86455e-05,6.86455e-05
85,9423.33,1.69927,2.57532,2.21866,0.37754,0.27254,0.3541,0.14219,2.30175,3.31226,2.76134,6.4834e-05,6.4834e-05,6.4834e-05
86,9534.22,1.71055,2.55677,2.23348,0.34654,0.34105,0.34102,0.14526,2.29752,3.26021,2.75659,6.10225e-05,6.10225e-05,6.10225e-05
87,9645.16,1.70396,2.51638,2.21922,0.45155,0.32898,0.33842,0.14914,2.31556,3.26956,2.72814,5.7211e-05,5.7211e-05,5.7211e-05
88,9757.11,1.71526,2.52999,2.20907,0.52021,0.21803,0.33432,0.15513,2.25307,3.28011,2.68803,5.33995e-05,5.33995e-05,5.33995e-05
